287859992	2749	19	42
737133529	1011	10	25
1477610528	690	9	35
3345806534	334	14	23
724670950	20240	3	8
2622791546	1308	1	15
3052016962	4798	14	55
2518600540	90287	16	38
2569799638	257	13	59
2829549809	1550	17	32
2370812473	1812	9	40
89102296	200	17	62
2511179580	2882	10	39
1446528522	1319	9	25
978938951	877	0	0
1158208036	2398	10	18
717179309	214	2	7
1574774515	47470390	13	14
1350113993	1079	14	23
2537413810	48	1	0
1511487272	199	5	14
3474385370	890	1	11
591892221	94	0	0
3341017469	51015905	15	53
781921884	741	2	23
2511366163	4857418	11	19
768633094	199	1	3
3618436516	1000879	4	5
3521162753	45	0	1
1033193122	0	0	3
3523154146	1745	7	8
1416061161	21	1	4
1270880076	4313	28	46
1024040012	406	0	3
1085739055	505	1	7
1814206081	601	0	5
596717221	10	0	0
1061362027	4337	13	51
2104205032	760	2	11
3072029680	1498	3	28
1306754846	239	2	7
374245120	317	4	24
1134848612	357	0	7
909523591	1534	5	30
370694382	128	0	0
1494697825	302861	43	81
1150043140	2132	5	14
2955779458	964950	15	55
3269987801	1362	2	17
470984335	566	15	38
657396598	440	0	2
1994486824	190	1	0
2398210006	21	0	17
2981148659	1192	8	28
774628874	1015	1	2
3126991998	0	168	463
496940930	85189	6	10
799683924	337	9	38
704098083	1351	3	12
924467677	459	1	4
1051519432	2308	4	10
455325678	58	0	0
1069804312	774	1	2
571536423	675	7	20
2434050729	278	0	2
569533465	665	3	7
2066617015	45	0	2
925323274	1080	1	12
1176102224	304	3	9
1095436646	10	0	0
1605253644	25	1	1
1744271726	60	1	0
1612672240	433	21	28
454315710	3582	47	63
310410367	86	1	8
1872707008	961	0	5
3201462459	1922	15	23
2172880879	142	1	3
2462833461	1010	0	5
3234898162	0	0	1
937200209	453	2	5
905255696	308	1	3
2865877919	1255	1	4
1256307496	276	3	4
402096722	258	0	4
1933809748	149	1	0
1135071460	65	0	2
1305820757	29	0	0
502869798	473	2	3
1415314200	53	0	0
2503604901	42	0	0
791937373	490	1	0
1794614276	0	0	3
2682034421	1491	13	21
1683941741	913	0	7
2676325434	2945	35	34
348908568	228	0	8
2832639556	261	2	4
2571183922	0	0	2
1084479819	1547	7	18
1574232698	31	1	3
2635074347	0	0	4
348026841	3	0	3
3357505199	2908	4	15
997396540	141	1	0
981603518	3051	28	55
1715392663	2236	8	31
2962062956	2075	14	19
1625599795	610	1	3
1009614580	369	0	4
2659436828	237	1	4
912129066	166	0	0
1904182113	76	0	0
909202033	114	1	3
1192939277	351	0	0
2524089674	237	0	16
1095247919	931	0	0
1191418598	211	0	0
2671208675	224	0	5
2150779214	430	0	0
2629553468	65	0	0
1781585535	1389	6	10
1843045440	338	3	12
188497989	182	0	0
820257099	315	0	0
1290771961	647	0	0
1458435193	884	3	6
1018680818	91	0	1
2110693859	42	0	0
2306679675	3988	30	4341
2485912153	446	1	0
815124113	266	0	0
3299147974	666	0	0
1500396250	56	0	0
1486136296	2400	3	6
1095903630	3667	14	37
1225024311	1706	21	185
1797449057	3421	11	48
1329627223	317	0	0
1375589010	453	3	5
2442758852	205	0	0
2059295635	2742	29	39
2434471411	161	1	3
1774662798	1150	3	11
2574285198	344	3	9
2643964199	776	20	89
2074115253	73	5	28
782271331	2547	7	21
616784310	584	29	106
1260396050	458	0	0
1106762691	648	3	13
1140319893	256	0	1
1071257370	212	0	0
1587456922	1313	2	6
895459297	215	3	9
2286569468	205	1	3
929835595	281	2	17
3051276595	263	0	0
2766811296	105	0	0
1744861998	210	0	0
843475418	6152	7	27
724962917	164	0	0
2523780959	2088	19	35
2570610059	1661	18	47
352740155	82	6	3
776328059	60	0	0
726373175	123	0	0
785521385	1629	29	31
523458607	7188	24	72
1458312942	772	1	15
1303299162	1376	25	41
1849041167	83	0	0
1395582206	1545	11	24
309173017	90	0	2
1838341977	41	0	1
785413451	47	0	1
2845177909	849	4	18
2992711807	57	1	4
321560159	204	0	4
564693678	32	1	2
1598739740	256	0	0
1057389725	590	1	6
865673622	0	0	1
3362619643	96	0	0
2366679925	262	0	0
1046014962	144	0	0
3448842412	175	0	0
1425887709	52	0	0
1285676148	106	0	0
3144912794	160	0	0
937453702	226	0	0
2723944982	112	0	0
2229605146	137	0	0
867486680	1565	2	11
1184257335	182	2	3
1171307417	88	0	0
781680399	161	1	1
897683120	142	2	4
2040712047	115	0	0
2055269863	158	5	15
604339698	357	2	8
499854030	92	1	7
2510985155	79	2	5
214943492	41	2	7
1427162342	11	2	2
2789785806	14	1	1
2019156896	4	0	2
1326687442	40	1	1
2669567343	21	0	3
1053820776	147	0	0
1207203712	726	16	27
490394856	583	1	14
1505979366	1194	9	15
1303992471	51	2	5
2569545112	836	6	15
1002278219	10	0	0
2044929643	93	0	0
2481179905	131	1	3
2875482724	402	0	0
1773812527	61	0	0
2244274567	467	0	0
3486125	137	1	3
1611907552	753	4	17
1308552121	708	2	22
1502518064	85	0	0
2364557193	71	0	0
958139499	1966	42	72
482840940	87	0	0
1397563841	297	3	10
2021830965	212	0	5
1548079848	74	0	0
275201123	102	0	0
951992395	102	0	0
3169371298	85	1	2
779855177	90	0	1
2518536740	1858	9	17
943898118	75	1	11
1554061460	5368	8	20
1119158947	754	11	32
915478662	2963	17	62
1761587808	2	0	2
1311784876	6542	12	22
1175695889	249	1	11
807079241	912	17	35
3597454743	10	1	0
2395210140	73	1	5
1971218611	20	1	0
1518750659	5	0	1
1311348840	84	2	6
510845604	1969	8	35
1151274870	78	0	1
1725861311	84	0	2
373048941	310	2	4
710846370	37	2	1
2896610769	65	0	2
2426583659	11	1	1
734577591	0	0	0
1026282197	171	3	4
2069226338	31	1	2
2408204446	10	0	1
1061566320	10	0	1
3051226944	912	3	10
2544012479	1241	0	11
2981438311	397	7	12
1030174625	724	15	23
641869654	1480	8	13
1964123670	310	11	28
1171144864	8	1	5
1207406505	0	0	0
2111585664	1	0	1
3164497378	0	0	0
3203864718	616	5	10
670149015	270	6	8
1214337362	66	1	1
357529328	20	0	3
965187262	2	1	0
2325887262	308	2	5
2367944141	10	0	1
1572470340	318	1	5
570582956	10	0	1
3403856710	16	1	2
1464709232	5	1	0
1458672558	1	0	1
2420367824	40	0	2
156073332	10	0	2
1316786718	865	2	8
1971644636	850	9	13
2476188671	174	3	13
2502802051	612	1	14
1042274296	2	1	1
2718234505	0	0	0
2962788563	4	0	2
1974998841	491	8	19
3302220273	198	1	5
2634616359	10	0	2
1240160219	1	0	1
906070700	20	0	3
1404326124	1381	22	47
2580066512	1530	9	45
