287859992	2455	12	27	1571469455
737133529	999	9	21	1571445190
1477610528	690	9	35	1567185316
3345806534	334	14	23	1569238922
724670950	20240	3	8	1570801722
2622791546	1303	1	14	1571101844
3052016962	4798	14	55	1567137239
2518600540	90283	16	37	1571156155
2569799638	237	13	57	1570017096
2829549809	627	0	2	1570910684
2370812473	1295	9	36	1570206198
89102296	0	17	61	1571235168
2511179580	2882	10	39	1571402435
1446528522	1318	9	24	1570842678
978938951	877	0	0	1570065340
1158208036	641	3	8	1569420490
717179309	214	2	7	1569975926
1574774515	47470390	13	12	1571444409
1350113993	931	8	16	1569590268
2537413810	48	1	0	1569238933
1511487272	199	5	14	1570804249
3474385370	840	0	11	1570887039
591892221	94	0	0	1566827652
3341017469	51015905	15	53	1570114826
781921884	741	2	23	1571184287
2511366163	4847328	10	15	1570804107
768633094	199	1	3	1568136178
3618436516	1000363	3	5	1570716421
3521162753	45	0	1	1566932225
1033193122	0	0	3	1546272000
3523154146	1745	7	8	1571358199
1416061161	21	1	4	1546272000
1270880076	4214	26	44	1571070474
1024040012	406	0	3	1570841526
1085739055	502	1	7	1568935926
1814206081	601	0	5	1570178052
596717221	10	0	0	1546272000
1061362027	4055	4	40	1571184224
2104205032	740	1	7	1570885824
3072029680	1497	2	28	1570954477
1306754846	239	2	7	1571404242
374245120	317	4	24	1569557362
1134848612	357	0	7	1569509242
909523591	56	4	9	1570548723
370694382	128	0	0	1569034078
1494697825	302841	42	81	1571445093
1150043140	676	2	5	1570801262
2955779458	964950	15	55	1567384842
3269987801	1362	2	17	1571188432
470984335	566	15	38	1568123225
657396598	440	0	2	1571279758
1994486824	190	1	0	1568337109
2398210006	21	0	17	1566911561
2981148659	1192	8	28	1570939784
774628874	1015	1	2	1570335204
3126991998	0	168	463	1570801424
496940930	85189	6	10	1571126607
799683924	31	7	26	1571404231
704098083	1351	3	12	1571102432
924467677	459	1	4	1569250816
1051519432	2195	1	8	1571276209
455325678	58	0	0	1566969200
1069804312	774	1	2	1569290061
571536423	615	7	16	1571269038
2434050729	278	0	2	1568471051
569533465	435	0	1	1569034818
2066617015	45	0	2	1566997480
925323274	992	1	10	1571444330
1176102224	133	1	5	1567761578
1095436646	10	0	0	1546272000
1605253644	25	1	1	1566997996
1744271726	60	1	0	1566998163
1612672240	310	0	2	1570595485
454315710	3449	43	56	1571449050
310410367	86	1	8	1567068557
1872707008	961	0	5	1571318129
3201462459	1842	12	23	1571459563
2172880879	142	1	3	1567109240
2462833461	1010	0	5	1571183590
3234898162	0	0	1	1546272000
937200209	117	0	2	1567346738
905255696	208	0	3	1570492236
2865877919	1155	0	0	1571184850
1256307496	276	3	4	1570371143
402096722	258	0	4	1568168181
1933809748	149	1	0	1569642239
1135071460	65	0	2	1567087095
1305820757	29	0	0	1567092236
502869798	473	2	3	1569908909
